Store Name,Store Location,Address,City,State,Zip Code,Phone Number,Store Hours,Latitude,Longitude,Geo Accuracy,Country,Country Code,County
"Lombard Performance Bicycle","Highlands Of Lombard Shopping Center","2830 South Highland Avenue","Lombard","IL","60148","(630) 629-4350","11:00AM-7:00PM Monday- Friday10:00AM-5:00PM Saturday 11:00AM-5:00PM SundayAll stores closed Thanksgiving Day and Christmas Day.","41.8357219","-88.0123825","PREMISE: ROOFTOP","United States","US","Dupage County"
"Naperville Performance Bicycle","Heritage Square","428 S State Route 59, Suite 106","Naperville","IL","60540","(630) 983-3010","11:00AM-7:00PM Monday- Friday10:00AM-5:00PM Saturday 11:00AM-5:00PM SundayAll stores closed Thanksgiving Day and Christmas Day.","41.7644169","-88.2036199","SUBPREMISE: ROOFTOP","United States","US","Dupage County"
"Northbrook Performance Bicycle","Village Square Of Northbrook","315 Skokie Blvd","Northbrook","IL","60062","(847) 559-9722","This store is now closed","42.1467073","-87.7959683","SUBPREMISE: ROOFTOP","United States","US","Cook County"
"Orland Park Performance Bicycle","","15876 South Lagrange Road","Orland Park","IL","60462","(708) 403-3240","This store is now closed","41.6022941","-87.8541122","SUBPREMISE: ROOFTOP","United States","US","Cook County"
"Schaumburg Performance Bicycle","The Schaumburg Marketplace","155 West Golf Road","Schaumburg","IL","60195","(847) 230-4789","This store is now closed","42.0486726","-88.0837787","SUBPREMISE: ROOFTOP","United States","US","Cook County"
"Castleton Performance Bicycle","Castleton Commons Shopping Center","8366 Castleton Corner Drive","Indianapolis","IN","46250","(317) 578-1062","This store is now closed","39.908579","-86.0732189","STREET_ADDRESS: ROOFTOP","United States","US","Marion County"
"Baltimore Performance Bicycle","Perring Plaza Shopping Center","1991 E Joppa Rd","Baltimore","MD","21234","(410) 882-7770","This store is now closed","39.3974027","-76.5435642","STREET_ADDRESS: ROOFTOP","United States","US","Baltimore County"
"Columbia Performance Bicycle","Dobbin Shopping Center","6455 Dobbin Road","Columbia","MD","21045","(443) 283-1410","This store is now closed","39.1945911","-76.8179446","PREMISE: ROOFTOP","United States","US","Howard County"
"Gaithersburg Performance Bicycle","Muddy Branch Square Shopping Center","357 Muddy Branch Rd","Gaithersburg","MD","20878","(301) 590-3000","This store is now closed","39.1286028","-77.2075512","SUBPREMISE: ROOFTOP","United States","US","Montgomery County"
"Rockville Performance Bicycle","Congressional Plaza","1667 Rockville Pike","Rockville","MD","20852","(301) 468-0808","10:00AM-7:00PM Monday- Friday10:00AM-7:00PM Saturday 12:00PM-5:00PM SundayAll stores closed Thanksgiving Day and Christmas Day.","39.0613688","-77.1267244","STREET_ADDRESS: ROOFTOP","United States","US","Montgomery County"
